,US,Canada,Germany,Netherlands,France,Spain,Switzerland,Belgium,Brasil,Mexico,Argentina,Israel,Australia,Indonesia,HongKong,Korea,Japan,India,China,Taiwan
US,1.0,0.7326088557700219,0.6008772189912912,0.5553316120295712,0.5719117726104546,0.521440693980033,0.5009471183405546,0.5248541122221331,0.5912823821656301,0.6118456083805356,0.3794427266432054,0.23376897605267066,0.2892319524276384,0.1365263591876667,0.20395197714193689,0.1695640280453511,0.12973259959652636,0.21970681781867687,0.07743347752611342,0.13866904945009365
Canada,0.7326088557700219,1.0,0.5389409734832876,0.5293296466138483,0.5453006960280186,0.4989044836834981,0.4623625700824781,0.48056831350357415,0.5644618600610247,0.5523252326154341,0.41260375689236606,0.25944839431388217,0.3139501860777403,0.18751319144219794,0.2670310523761102,0.22780042706728695,0.22260396153981887,0.2592793892924238,0.11011910682143682,0.19172324021709475
Germany,0.6008772189912912,0.5389409734832876,1.0,0.8652389523957069,0.8992326468511702,0.797429599560664,0.7673170850361933,0.7838940944195829,0.4487049813163438,0.5001695249087026,0.3201644416915457,0.3760739706094252,0.3273398678916583,0.22108209949712093,0.3384454367973846,0.2929470591792837,0.2637998178747474,0.3131890454001853,0.11222403427784898,0.23851255289161538
Netherlands,0.5553316120295712,0.5293296466138483,0.8652389523957069,1.0,0.9218158109913096,0.8126147636275325,0.8147534482568232,0.8434686267319311,0.438893797814133,0.482428560683955,0.3180912064690725,0.3914592907777359,0.3764053195347076,0.2607895989894999,0.3755589662010694,0.31038654626057016,0.29532604015619063,0.34756013905170824,0.1198067305756012,0.2637581161256221
France,0.5719117726104546,0.5453006960280186,0.8992326468511702,0.9218158109913096,1.0,0.8723341558125436,0.8060104501892008,0.8464661108557053,0.44990097185586947,0.49692636871518386,0.33579909166199656,0.4004792893346835,0.35267225612744685,0.2518239264967868,0.3644420976499946,0.3004156027201608,0.2895022731003413,0.3420914258592063,0.121697331759034,0.25776991008831995
Spain,0.521440693980033,0.4989044836834981,0.797429599560664,0.8126147636275325,0.8723341558125436,1.0,0.7171420691575449,0.7803120783913519,0.4340878046613543,0.4570997894574868,0.3348382892702764,0.3570646745536316,0.32994737439295907,0.2344971583235941,0.33909008376347016,0.2791640877876896,0.26779317209837816,0.3317854138801183,0.10186556037809058,0.2256709430692068
Switzerland,0.5009471183405546,0.4623625700824781,0.7673170850361933,0.8147534482568232,0.8060104501892008,0.7171420691575449,1.0,0.7530721173718139,0.3905057803298045,0.42886326728074636,0.28015636382091424,0.35106358495328155,0.33895584426255937,0.2570094141789156,0.33762202642103717,0.2861530802607846,0.29213682786483347,0.32330150354568044,0.10170833115650064,0.23789375628641282
Belgium,0.5248541122221331,0.48056831350357415,0.7838940944195829,0.8434686267319311,0.8464661108557053,0.7803120783913519,0.7530721173718139,1.0,0.40627566433561,0.4494020760973566,0.308113463742734,0.3581436964923851,0.3473517825036833,0.2731232547570668,0.35092449068788306,0.2727960146542757,0.26855595690551526,0.34578596687095664,0.1395312066045409,0.23870547620182367
Brasil,0.5912823821656301,0.5644618600610247,0.4487049813163438,0.438893797814133,0.44990097185586947,0.4340878046613543,0.3905057803298045,0.40627566433561,1.0,0.5639634610034365,0.4375611876838494,0.23064332169618013,0.2498493764318466,0.19793382202375565,0.2683177200554069,0.21223770684836618,0.15495722828214653,0.254172018599998,0.13018859272563074,0.17537689720863012
Mexico,0.6118456083805356,0.5523252326154341,0.5001695249087026,0.482428560683955,0.49692636871518386,0.4570997894574868,0.42886326728074636,0.4494020760973566,0.5639634610034365,1.0,0.3674893779794718,0.25239044102475905,0.30037722359236313,0.19075959554663577,0.272424026335576,0.24560372131102975,0.17325089200391702,0.262536883647373,0.11825016890111974,0.18001511982479626
Argentina,0.3794427266432054,0.41260375689236606,0.3201644416915457,0.3180912064690725,0.33579909166199656,0.3348382892702764,0.28015636382091424,0.308113463742734,0.4375611876838494,0.3674893779794718,1.0,0.19701672994600877,0.19123947309122769,0.14366953926853135,0.17511962328099268,0.1462521058442534,0.13893697224144455,0.16855121337871815,0.06842289044024986,0.15169590761124047
Israel,0.23376897605267066,0.25944839431388217,0.3760739706094252,0.3914592907777359,0.4004792893346835,0.3570646745536316,0.35106358495328155,0.3581436964923851,0.23064332169618013,0.25239044102475905,0.19701672994600877,1.0,0.23780736160246999,0.22383912292923658,0.33190193259018774,0.3027485467079916,0.2722152484664731,0.2917082176739294,0.12458494994463912,0.256666018103004
Australia,0.2892319524276384,0.3139501860777403,0.3273398678916583,0.3764053195347076,0.35267225612744685,0.32994737439295907,0.33895584426255937,0.3473517825036833,0.2498493764318466,0.30037722359236313,0.19123947309122769,0.23780736160246999,1.0,0.2588874879820248,0.3404269577642756,0.30770950825601023,0.33796763166061294,0.25930918340866005,0.12785156406574508,0.2544699441606722
Indonesia,0.1365263591876667,0.18751319144219794,0.22108209949712093,0.2607895989894999,0.2518239264967868,0.2344971583235941,0.2570094141789156,0.2731232547570668,0.19793382202375565,0.19075959554663577,0.14366953926853135,0.22383912292923658,0.2588874879820248,1.0,0.4430243549905757,0.3836131130243536,0.3368996407043108,0.3896307256932475,0.19775390119823202,0.37408044624866876
HongKong,0.20395197714193689,0.2670310523761102,0.3384454367973846,0.3755589662010694,0.3644420976499946,0.33909008376347016,0.33762202642103717,0.35092449068788306,0.2683177200554069,0.272424026335576,0.17511962328099268,0.33190193259018774,0.3404269577642756,0.4430243549905757,1.0,0.5934926181963387,0.5224498454198881,0.4586520732900499,0.39748684713797255,0.49316052121580645
