,0
US,0.6099429782122467
Canada,0.609984807517046
Germany,0.6099885748254228
Netherlands,0.609989189225159
France,0.6099881625354825
Spain,0.6099882022269337
Switzerland,0.6099842688823073
Belgium,0.6099887392829152
Brasil,0.6099860614288608
Mexico,0.6099737445645047
Argentina,0.6099738416802513
Israel,0.6097171906322137
Australia,0.609986777324862
Indonesia,0.6099794777851375
HongKong,0.6099835480286904
Korea,0.6099824447745513
Japan,0.6099682768286284
India,0.6099848050472846
China,0.6098068883848212
Taiwan,0.6099700765693196
