,0
US,-0.004738356988980139
Canada,0.008775045763971914
Germany,-0.027625760598097956
Netherlands,-0.0010484177286389947
France,-0.009263349190066094
Spain,0.0011724778865888437
Switzerland,-0.0111318202587333
Belgium,0.0058610696115727135
Brasil,-0.002499916568642879
Mexico,0.01280474673513198
Argentina,-0.0004211495850064497
Israel,-0.017840966815689595
Australia,-0.02426077471661086
Indonesia,-0.008500752280087637
HongKong,-0.007905337785474932
Korea,-0.010738423755465356
Japan,0.007588764344186749
India,0.008590994664532933
China,-0.005909880910449732
Taiwan,-0.012791062387026887
