,US,Canada,Germany,Netherlands,France,Spain,Switzerland,Belgium,Brasil,Mexico,Argentina,Israel,Australia,Indonesia,HongKong,Korea,Japan,India,China,Taiwan
US,0.0,0.7312881022278132,0.8934458920479839,0.943046539647359,0.9252980356507253,0.9783243899852104,0.9990524327175682,0.9748291006918772,0.9041212505348716,0.8810838684477934,1.1140532064105328,1.2379265115081182,1.1922818857739654,1.3141336620088029,1.2617828837466951,1.288748208110994,1.3192932959758976,1.2492343112333435,1.3583567443598066,1.312502152798163
Canada,0.7312881022278132,0.0,0.9602697813809536,0.9702271418447863,0.953623934234016,1.0010949168949985,1.03695460837736,1.0192464731324076,0.9333146735576114,0.9462291132538313,1.0838784462361393,1.217005838676313,1.171366564250713,1.2747445301375504,1.210759222656503,1.2427385669823827,1.2469130189874362,1.2171447002781355,1.334077129088542,1.2714375798936457
Germany,0.8934458920479839,0.9602697813809536,0.0,0.5191551744985173,0.44892617020804115,0.6365067170727045,0.6821772716293127,0.6574281794696927,1.0500428740614893,0.9998304607195135,1.1660493628560107,1.11707298722203,1.159879417964076,1.2481329260161989,1.1502648070793222,1.1891618399702508,1.2134250550612944,1.17201617275515,1.3324983795278333,1.2340886897694059
Netherlands,0.943046539647359,0.9702271418447863,0.5191551744985173,0.0,0.3954344168346766,0.6121849987911618,0.608681446642128,0.5595201037819264,1.0593452715577363,1.0174197160622012,1.1678260088993802,1.1032141308216317,1.1167763253805951,1.2159032864586723,1.1175339223477117,1.174404916320968,1.1871596016069696,1.1423133203708093,1.3267955904542332,1.2134594215501218
France,0.9252980356507253,0.953623934234016,0.44892617020804115,0.3954344168346766,0.0,0.5053035606196661,0.6228796831022809,0.5541369670835806,1.0489032635511537,1.0030689221432554,1.1525631508407714,1.0950074982988165,1.1378292876108904,1.2232547351252832,1.127437716550236,1.1828646560615794,1.1920551387412066,1.1470907323667068,1.3253698866663344,1.218384249661559
Spain,0.9783243899852104,1.0010949168949985,0.6365067170727045,0.6121849987911618,0.5053035606196661,0.0,0.7521408522909192,0.6628543152286905,1.0638723563836459,1.042017476381767,1.1533964719295127,1.1339623674940613,1.1576291509866543,1.2373381443052711,1.1497042369553394,1.2006963914431579,1.2101296028951791,1.1560402987092464,1.3402495585687835,1.2444509286675736
Switzerland,0.9990524327175682,1.03695460837736,0.6821772716293127,0.608681446642128,0.6228796831022809,0.7521408522909192,0.0,0.7027487212769385,1.104078094765217,1.0687719426699538,1.1998696897405865,1.1392422174820582,1.1498209910568171,1.2190082738202266,1.1509804286598124,1.1948614310782781,1.189842991436405,1.163355918413896,1.340366866826765,1.2345900078273655
Belgium,0.9748291006918772,1.0192464731324076,0.6574281794696927,0.5595201037819264,0.5541369670835806,0.6628543152286905,0.7027487212769385,0.0,1.0897011844211146,1.0493787913834007,1.1763388425596308,1.1330104178758595,1.1424957045838873,1.205717002652723,1.1393643046121087,1.2059883791693222,1.2094991054932491,1.143865405656665,1.3118451077741298,1.233932351304703
Brasil,0.9041212505348716,0.9333146735576114,1.0500428740614893,1.0593452715577363,1.0489032635511537,1.0638723563836459,1.104078094765217,1.0897011844211146,0.0,0.9338485305407547,1.0606024819093633,1.2404488528785216,1.224867848845869,1.2665434678495993,1.2096960609546457,1.2551990225869631,1.3000329009050913,1.2213336820050464,1.318947616302004,1.2842298102686838
Mexico,0.8810838684477934,0.9462291132538313,0.9998304607195135,1.0174197160622012,1.0030689221432554,1.042017476381767,1.0687719426699538,1.0493787913834007,0.9338485305407547,0.0,1.1247316320087457,1.2227915267740785,1.1828971015330427,1.2721952715313511,1.2062967907313888,1.228329173054984,1.285884215624473,1.2144654102547565,1.3279682459297588,1.2806130408325567
Argentina,1.1140532064105328,1.0838784462361393,1.1660493628560107,1.1678260088993802,1.1525631508407714,1.1533964719295127,1.1998696897405865,1.1763388425596308,1.0606024819093633,1.1247316320087457,0.0,1.2672673514724437,1.271818011280523,1.3086867163163753,1.2844301278925274,1.3067118229783845,1.3122980056058573,1.2895338588973009,1.3649740726913095,1.3025391298450573
Israel,1.2379265115081182,1.217005838676313,1.11707298722203,1.1032141308216317,1.0950074982988165,1.1339623674940613,1.1392422174820582,1.1330104178758595,1.2404488528785216,1.2227915267740785,1.2672673514724437,0.0,1.2346599842851715,1.2459220497854298,1.1559395030967774,1.1808907259285326,1.2064698517025005,1.1902031610830737,1.3231893666859336,1.2192899424640522
Australia,1.1922818857739654,1.171366564250713,1.159879417964076,1.1167763253805951,1.1378292876108904,1.1576291509866543,1.1498209910568171,1.1424957045838873,1.224867848845869,1.1828971015330427,1.271818011280523,1.2346599842851715,0.0,1.2174666418575706,1.1485408501535541,1.176682193069981,1.1506801191811624,1.2171202213350496,1.3207183166249001,1.2210897230255668
Indonesia,1.3141336620088029,1.2747445301375504,1.2481329260161989,1.2159032864586723,1.2232547351252832,1.2373381443052711,1.2190082738202266,1.205717002652723,1.2665434678495993,1.2721952715313511,1.3086867163163753,1.2459220497854298,1.2174666418575706,0.0,1.0554389087099492,1.1103034602987116,1.1516078840436004,1.104870376385169,1.2666855164576312,1.11885616032744
HongKong,1.2617828837466951,1.210759222656503,1.1502648070793222,1.1175339223477117,1.127437716550236,1.1497042369553394,1.1509804286598124,1.1393643046121087,1.2096960609546457,1.2062967907313888,1.2844301278925274,1.1559395030967774,1.1485408501535541,1.0554389087099492,0.0,0.9016733131280543,0.9772923355681368,1.040526719224403,1.0977369018685919,1.0068162481646723
Korea,1.288748208110994,1.2427385669823827,1.1891618399702508,1.174404916320968,1.1828646560615794,1.2006963914431579,1.1948614310782781,1.2059883791693222,1.2551990225869631,1.228329173054984,1.3067118229783845,1.1808907259285326,1.176682193069981,1.1103034602987116,0.9016733131280543,0.0,0.9665269434087266,1.1090303717113577,1.257111971493754,0.9466103724610007
Japan,1.3192932959758976,1.2469130189874362,1.2134250550612944,1.1871596016069696,1.1920551387412066,1.2101296028951791,1.189842991436405,1.2094991054932491,1.3000329009050913,1.285884215624473,1.3122980056058573,1.2064698517025005,1.1506801191811624,1.1516078840436004,0.9772923355681368,0.9665269434087266,0.0,1.1780918298615153,1.249553755346004,1.0501644639560084
India,1.2492343112333435,1.2171447002781355,1.17201617275515,1.1423133203708093,1.1470907323667068,1.1560402987092464,1.163355918413896,1.143865405656665,1.2213336820050464,1.2144654102547565,1.2895338588973009,1.1902031610830737,1.2171202213350496,1.104870376385169,1.040526719224403,1.1090303717113577,1.1780918298615153,0.0,1.2805669273415905,1.1442692342447383
China,1.3583567443598066,1.334077129088542,1.3324983795278333,1.3267955904542332,1.3253698866663344,1.3402495585687835,1.340366866826765,1.3118451077741298,1.318947616302004,1.3279682459297588,1.3649740726913095,1.3231893666859336,1.3207183166249001,1.2666855164576312,1.0977369018685919,1.257111971493754,1.249553755346004,1.2805669273415905,0.0,1.2527603749861396
Taiwan,1.312502152798163,1.2714375798936457,1.2340886897694059,1.2134594215501218,1.218384249661559,1.2444509286675736,1.2345900078273655,1.233932351304703,1.2842298102686838,1.2806130408325567,1.3025391298450573,1.2192899424640522,1.2210897230255668,1.11885616032744,1.0068162481646723,0.9466103724610007,1.0501644639560084,1.1442692342447383,1.2527603749861396,0.0
